 27.9261 -26.6731
 39.2833 -6.8
 39.1833 -6.16667
 44.3922 35.4681
 54.3667 24.4667
 67.0822 24.9056
 73.2 22.3
 108.221 16.0678
 100.597 13.6004
 100.368 -0.953154
 107.047 -6.75028
 118.118 5.8402
 120.982 14.6042
 110.9 21.65
 106.682 20.8561
 121.4 31.0456
 121.443 28.6803
 119.159 34.5997
 139.9 35.7833
 123.883 41.7
 139.751 35.685
 106.917 47.9167
 114.652 37.8792
 112.454 34.6836
 103.792 36.0564
 77.2 28.6
 76.4003 30.3267
 77.2167 28.6667
 79.3 19.95
 75.1667 15.35
 72.8258 18.975
 65.7101 31.6133
 83.7636 53.3606
 76.95 52.3
 39.1843 51.672
 7.66667 45.05
 -9.23718 32.2994
 29.0611 40.1917
 39.7257 43.5992
 45.0724 37.5553
