 76.4003 30.3267
 121.4 31.0456
 103.792 36.0564
 67.0822 24.9056
 44.3922 35.4681
 54.3667 24.4667
 39.2833 -6.8
 27.9261 -26.6731
 39.1833 -6.16667
 45.0724 37.5553
 77.2167 28.6667
 39.1843 51.672
 65.7101 31.6133
 77.2 28.6
 29.0611 40.1917
 -9.23718 32.2994
 7.66667 45.05
 39.7257 43.5992
 83.7636 53.3606
 112.454 34.6836
 100.597 13.6004
 75.1667 15.35
 110.9 21.65
 139.751 35.685
 121.443 28.6803
 108.221 16.0678
 107.047 -6.75028
 100.368 -0.953154
 106.682 20.8561
 114.652 37.8792
 139.9 35.7833
 119.159 34.5997
 76.95 52.3
 72.8258 18.975
 73.2 22.3
 79.3 19.95
 118.118 5.8402
 123.883 41.7
 106.917 47.9167
 120.982 14.6042
